DateTime,Temperature,Humidity,WindSpeed,Pressure,Summary
01-01-2006 00:00:00,0.577777778,0.89,17.1143,1016.66,Partly Cloudy
01-01-2006 01:00:00,1.161111111,0.85,16.6152,1016.15,Mostly Cloudy
01-01-2006 02:00:00,1.666666667,0.82,20.2538,1015.87,Mostly Cloudy
01-01-2006 03:00:00,1.711111111,0.82,14.49,1015.56,Overcast
01-01-2006 04:00:00,1.183333333,0.86,13.9426,1014.98,Mostly Cloudy
01-01-2006 05:00:00,1.205555556,0.85,15.9068,1014.08,Mostly Cloudy
01-01-2006 06:00:00,2.222222222,0.79,20.5597,1013.93,Mostly Cloudy
01-01-2006 07:00:00,2.072222222,0.81,25.4219,1013.24,Mostly Cloudy
01-01-2006 08:00:00,2.2,0.8,23.1679,1013.19,Mostly Cloudy
01-01-2006 09:00:00,2.733333333,0.82,22.8781,1013.29,Mostly Cloudy
01-01-2006 10:00:00,2.788888889,0.83,21.6062,1013.42,Mostly Cloudy
01-01-2006 11:00:00,3.822222222,0.82,22.7976,1012.72,Mostly Cloudy
01-01-2006 12:00:00,4.911111111,0.77,21.4452,1012,Mostly Cloudy
01-01-2006 13:00:00,6.205555556,0.76,23.4094,1011.18,Mostly Cloudy
01-01-2006 14:00:00,7.438888889,0.72,24.8423,1010.49,Partly Cloudy
01-01-2006 15:00:00,6.95,0.74,27.5954,1010.29,Mostly Cloudy
01-01-2006 16:00:00,5.972222222,0.81,19.32,1010.22,Mostly Cloudy
01-01-2006 17:00:00,5.905555556,0.8,19.7869,1010.15,Overcast
01-01-2006 18:00:00,4.955555556,0.86,25.9371,1009.76,Overcast
01-01-2006 19:00:00,5.472222222,0.83,25.4058,1009.55,Overcast
01-01-2006 20:00:00,5.972222222,0.8,24.2305,1009.39,Overcast
01-01-2006 21:00:00,4.933333333,0.86,23.9407,1009.43,Overcast
01-01-2006 22:00:00,5.472222222,0.87,22.7171,1009.51,Overcast
01-01-2006 23:00:00,5.422222222,0.86,19.5615,1009.64,Overcast
01-02-2006 00:00:00,-2.144444444,0.86,11.27,1025.18,Overcast
01-02-2006 01:00:00,-2.466666667,0.89,4.9105,1023.23,Overcast
01-02-2006 02:00:00,-2.744444444,0.89,3.22,1025.19,Overcast
01-02-2006 03:00:00,-2.188888889,0.88,2.8497,1025.25,Overcast
01-02-2006 04:00:00,-2.038888889,0.87,3.3649,1024.88,Overcast
01-02-2006 05:00:00,-2.672222222,0.88,7.8246,1024.87,Overcast
01-02-2006 06:00:00,-2.605555556,0.88,3.22,1025.15,Overcast
01-02-2006 07:00:00,-2.433333333,0.89,4.3631,1025.79,Overcast
